Date,Time,kWh Forn,kWh Rec,kVARh Forn,kVARh Rec,Vll an mean,Vll bn mean,Vll cn mean,Ia mean,Ib mean,Ic mean,kWh FornCP,kWh RecCP,kVARh FornCP,kVARh RecCP
3/1/14,00:05:00000,853791016,0,85862671,0,40802683594,38121089844,40887203125,85688309,83352501,89461182,853791016,0,85862671,0
3/1/14,00:10:00000,840563721,0,79028801,0,40773964844,38406824219,40860910156,83978699,81935936,87867249,840563721,0,79028801,0
3/1/14,00:15:00000,830757813,0,73949089,0,40763460938,38280109375,40853972656,82994301,81117828,86943008,830757813,0,73949089,0
3/1/14,00:20:00000,830869934,0,76159943,0,40770648438,38317574219,40860191406,83073784,81160042,86780174,830869934,0,76159943,0
3/1/14,00:25:00000,826348328,0,72432663,0,40778285156,38306257813,40866191406,82634651,80602058,86328606,826348328,0,72432663,0
3/1/14,00:30:00000,822300720,0,70829124,0,40786726563,38360066406,40877242188,82100418,80069946,85996399,822300720,0,70829124,0
3/1/14,00:35:00000,818991943,0,69248573,0,40774449219,38252894531,40865167969,81901878,79853294,85664223,818991943,0,69248573,0
3/1/14,00:40:00000,812705261,0,65155281,0,40781863281,38195210938,40871761719,81296272,79229942,85016617,812705261,0,65155281,0
3/1/14,00:45:00000,810034485,0,66163773,0,40775078125,38395531250,40867488281,80768860,78917107,84660446,810034485,0,66163773,0
3/1/14,00:50:00000,806220459,0,67289215,0,40798878906,38707605469,40892519531,80177353,78296959,83947250,806220398,0,67289215,0
3/1/14,00:55:00000,800567993,0,65088898,0,40819796875,38804476563,40919859375,79634132,77488388,83231308,800567993,0,65088898,0
3/1/14,01:00:00000,794891296,0,60982635,0,40836679688,38699511719,40932785156,78986427,77091560,82680466,794891296,0,60982635,0
3/1/14,01:05:00000,789350830,0,60464680,0,40875925781,38717136719,40974558594,78574821,76266624,82036934,789350830,0,60464680,0
3/1/14,01:10:00000,781123230,0,54815369,0,40902320313,38655906250,41001828125,77665466,75301910,81397766,781123230,0,54815369,0
3/1/14,01:15:00000,775470825,0,50365940,0,40885160156,38349972656,40987351563,77045967,75163307,81145653,775470825,0,50365940,0
3/1/14,01:20:00000,767800476,0,46239231,0,40921207031,38282386719,41021265625,76271461,74423897,80310875,767800476,0,46239231,0
3/1/14,01:25:00000,763629089,0,43424461,0,40931511719,38244648438,41032886719,75838432,73945877,79982460,763629089,0,43424461,0
3/1/14,01:30:00000,764898254,0,44066700,0,40916296875,38279980469,41018464844,76062874,73912827,80155167,764898254,0,44066700,0
3/1/14,01:35:00000,762888428,0,42016018,0,40938089844,38052921875,41039660156,75977638,73740921,80211014,762888428,0,42016018,0
3/1/14,01:40:00000,759990479,0,41285728,0,40918078125,38363152344,41023578125,75625061,73108612,79683441,759990479,0,41285728,0
3/1/14,01:45:00000,709669800,0,36767212,0,40916722656,38208410156,41023269531,74809288,72627426,78995323,709669800,0,36767212,0
3/1/14,01:50:00000,751208435,0,36388596,0,40943417969,38202265625,41046531250,74967400,71963799,79066002,751208435,0,36388596,0
3/1/14,01:55:00000,741413696,0,36819870,0,40963261719,38578613281,41064527344,73464920,71328766,77387833,741413696,0,36819870,0
3/1/14,02:00:00000,731976746,0,30954441,0,40976562500,38329246094,41075535156,72585503,70629326,76562378,731976746,0,30954441,0
3/1/14,02:05:00000,633156677,0,34515381,26966217,38257148438,35844062500,38358234375,63807552,61469219,67273102,633156677,0,34515381,26966217
3/1/14,02:10:00000,624701477,0,0,71227036,40972125000,37690964844,41093683594,63203445,61227722,65588669,624701477,0,0,71227036
3/1/14,02:15:00000,709396912,0,6541201,2187409,40944566406,37776390625,41064972656,71233582,69128571,73526154,709396851,0,6541201,2187409
3/1/14,02:20:00000,708441101,0,17445198,0,40951218750,37688117188,41070453125,71270172,68974373,73548401,708441101,0,17445198,0
3/1/14,02:25:00000,702445190,0,13571773,0,40975671875,37544835938,41094574219,70582809,68545753,73066124,702445190,0,13571773,0
3/1/14,02:30:00000,696534302,0,9721691,0,40965535156,37529675781,41089968750,69973511,67949867,72525398,696534302,0,9721691,0
3/1/14,02:35:00000,691306519,0,6262745,0,40947847656,37806261719,41069375000,69316315,67266045,71776337,691306519,0,6262745,0
3/1/14,02:40:00000,687182373,0,5025650,0,40939542969,38079347656,41063410156,68750656,66632675,71204834,687182373,0,5025650,0
3/1/14,02:45:00000,681423950,0,1192332,0,40968851563,38025351563,41087996094,68216927,66122116,70518761,681423950,0,1192332,0
3/1/14,02:50:00000,683463074,0,1442010,0,41004335938,38063070313,41120730469,68266167,66257217,70783035,683463074,0,1442010,0
3/1/14,02:55:00000,675412048,0,0,3686717,40997011719,37642609375,41112578125,67762848,65755524,70213432,675412048,0,0,3686717
3/1/14,03:00:00000,674650391,0,0,4539723,41009089844,37698105469,41122093750,67563766,65746407,70059685,674650391,0,0,4539723
3/1/14,03:05:00000,676059204,0,0,2856731,41000792969,38024445313,41124171875,67358482,65831963,69984947,676059204,0,0,2856731
3/1/14,03:10:00000,674071655,0,0,2431894,41022941406,37812203125,41145300781,67431267,65500771,69972038,674071655,0,0,2431894
3/1/14,03:15:00000,671084717,0,0,2513814,41031042969,37801085938,41148664063,67221275,64990326,69794312,671084656,0,0,2513814
3/1/14,03:20:00000,670474487,0,0,1984210,41098171875,37714015625,41210816406,67041855,65072189,69690987,670474487,0,0,1984210
3/1/14,03:25:00000,669444153,0,0,5462010,41074511719,37735476563,41188351563,67029182,64922874,69637344,669444153,0,0,5462010
3/1/14,03:30:00000,670071289,0,0,2188515,41066625000,37991589844,41178910156,67052925,64854446,69293228,670071289,0,0,2188515
3/1/14,03:35:00000,668687744,0,0,2408603,41059781250,37701492188,41177281250,66835304,65053177,69512718,668687744,0,0,2408603
3/1/14,03:40:00000,673424438,0,0,1319334,41056632813,37998074219,41171093750,67145447,65423553,69684387,673424438,0,0,1319334
3/1/14,03:45:00000,667226440,0,0,5117829,41030070313,37647332031,41150910156,66788483,64972054,69391136,667226440,0,0,5117829
