Latency,Jitter,Loss,Protocol,Bandwidth,Transfer,UE,experiment,Distance,Reliability
1.467,1.66256435644,1,UDP,20000.0,715000.0,01,1,21.67157192355668,99.9920346810798
0.91,0.591290429043,1,UDP,20000.0,715000.0,01,1,47.95299186724749,99.99166332188452
0.835,0.562661184211,0,UDP,20000.0,715000.0,01,1,53.94582289943013,99.98981514093036
0.887,0.594343234323,1,UDP,20000.0,715000.0,01,1,57.46301717913657,99.9959946130734
0.911,0.600578947368,0,UDP,20000.0,715000.0,01,1,51.1084098024747,99.99165651870338
0.835,0.572023026316,0,UDP,20000.0,715000.0,01,1,68.61870458842367,99.992436427546
0.856,0.488592105263,0,UDP,20000.0,715000.0,01,1,7.736340398103549,99.98826159132504
0.865,0.587967105263,0,UDP,20000.0,715000.0,01,1,23.55863697817396,99.99355726107324
1.287,1.38148344371,2,UDP,20000.0,715000.0,01,1,54.02782173963013,99.98754222600644
0.904,0.507407284768,2,UDP,20000.0,715000.0,01,1,66.84946552772071,99.99710842886029
0.854,0.522536423841,2,UDP,20000.0,715000.0,01,1,83.95518076899708,99.99175804962069
0.876,0.504803986711,3,UDP,20000.0,715000.0,01,1,61.84281483602415,99.996392342442
0.878,0.540267326733,1,UDP,20000.0,715000.0,01,1,53.121294466216206,99.98985304056384
0.864,0.513300330033,1,UDP,20000.0,715000.0,01,1,60.92971865834927,99.98944175154602
0.888,0.550640264026,1,UDP,20000.0,715000.0,01,1,10.871824202035514,99.98699678586414
0.877,0.552609271523,2,UDP,20000.0,715000.0,01,1,56.64322677945916,99.99246817301794
0.836,0.540286184211,0,UDP,20000.0,715000.0,01,1,51.64873498608393,99.98918532903264
1.063,0.956684210526,0,UDP,20000.0,715000.0,01,1,52.506989235829145,99.99000984296022
0.887,0.571690789474,0,UDP,20000.0,715000.0,01,1,50.71862227565641,99.99331738554628
0.858,0.581465346535,1,UDP,20000.0,715000.0,01,1,66.0668540650832,99.99636289476254
0.866,0.552514851485,1,UDP,20000.0,715000.0,01,1,24.265947238209165,99.99590207918438
0.884,0.569326732673,1,UDP,20000.0,715000.0,01,1,55.87073231393818,99.98885421716946
0.822,0.490947194719,1,UDP,20000.0,715000.0,01,1,74.81679384948583,99.99003407232654
0.83,0.52901320132,1,UDP,20000.0,715000.0,01,1,33.39083379021341,99.99414669223256
0.902,0.590016556291,2,UDP,20000.0,715000.0,01,1,53.18333470193049,99.9872878963127
0.864,0.51197359736,1,UDP,20000.0,715000.0,01,1,21.71845354971533,99.99191907434972
0.846,0.475625,0,UDP,20000.0,715000.0,01,1,76.64212605500242,99.9952318712797
0.961,0.679313531353,1,UDP,20000.0,715000.0,01,1,27.64401843916181,99.9915116464291
0.869,0.529650165017,1,UDP,20000.0,715000.0,01,1,71.03088688546748,99.99461054897496
0.861,0.604042763158,0,UDP,20000.0,715000.0,01,1,60.89240500807108,99.99702878899342
0.869,0.571332236842,0,UDP,20000.0,715000.0,01,1,18.08742475532457,99.9919515418558
0.893,0.560382838284,1,UDP,20000.0,715000.0,01,1,50.00735565632986,99.9978849738918
0.952,0.633144736842,0,UDP,20000.0,715000.0,01,1,67.539202415211,99.99298810151292
1.467,1.66256435644,1,UDP,47000.0,1681000.0,02,1,30.83515601900601,99.99571734973892
0.91,0.591290429043,1,UDP,47000.0,1681000.0,02,1,21.72849667621154,99.98810496549622
0.835,0.562661184211,0,UDP,47000.0,1681000.0,02,1,81.77931806625604,99.98812085705916
0.887,0.594343234323,1,UDP,47000.0,1681000.0,02,1,36.91866102459301,99.99013002837366
0.911,0.600578947368,0,UDP,47000.0,1681000.0,02,1,73.0176029850079,99.98538054393282
0.835,0.572023026316,0,UDP,47000.0,1681000.0,02,1,50.36445107943084,99.9961150230134
0.856,0.488592105263,0,UDP,47000.0,1681000.0,02,1,53.68424056795863,99.99076830640004
0.865,0.587967105263,0,UDP,47000.0,1681000.0,02,1,78.60790129682661,99.98857025704964
1.287,1.38148344371,2,UDP,47000.0,1681000.0,02,1,74.03802473713662,99.99656389890312
0.904,0.507407284768,2,UDP,47000.0,1681000.0,02,1,32.297325917385194,99.99078016229387
0.854,0.522536423841,2,UDP,47000.0,1681000.0,02,1,6.962399170095149,99.99130980975336
0.876,0.504803986711,3,UDP,47000.0,1681000.0,02,1,88.98731693816408,99.99327175152416
0.878,0.540267326733,1,UDP,46606.45161290323,1681000.0,02,1,77.77872326477191,99.98865971659436
0.864,0.513300330033,1,UDP,47000.0,1681000.0,02,1,52.64918003674728,99.99659128364112
0.888,0.550640264026,1,UDP,47000.0,1681000.0,02,1,20.38166767060229,99.9893917863676
0.877,0.552609271523,2,UDP,47000.0,1681000.0,02,1,24.082791499627614,99.9904336444454
0.836,0.540286184211,0,UDP,47000.0,1681000.0,02,1,85.77784313907313,99.99659039829902
1.063,0.956684210526,0,UDP,47000.0,1681000.0,02,1,70.52308703531443,99.9935988494355
0.887,0.571690789474,0,UDP,47000.0,1681000.0,02,1,42.14102762249981,99.99700361085762
0.858,0.581465346535,1,UDP,47000.0,1681000.0,02,1,25.23428731083297,99.99538358502926
0.866,0.552514851485,1,UDP,47000.0,1681000.0,02,1,24.666961698163828,99.99168981150184
0.884,0.569326732673,1,UDP,47000.0,1681000.0,02,1,31.518084427263812,99.99227554627136
0.822,0.490947194719,1,UDP,47000.0,1681000.0,02,1,63.42474298743955,99.9988308392958
0.83,0.52901320132,1,UDP,47000.0,1681000.0,02,1,65.60145294759515,99.98916336978944
0.902,0.590016556291,2,UDP,47000.0,1681000.0,02,1,24.78295009119398,99.99231669353055
0.864,0.51197359736,1,UDP,47000.0,1681000.0,02,1,58.40737961462007,99.99458334118466
0.846,0.475625,0,UDP,47000.0,1681000.0,02,1,26.35675753331116,99.98627979706504
0.961,0.679313531353,1,UDP,47000.0,1681000.0,02,1,90.64813321496776,99.9933224730768
0.869,0.529650165017,1,UDP,47000.0,1681000.0,02,1,47.2623678307447,99.98856628471984
0.861,0.604042763158,0,UDP,47000.0,1681000.0,02,1,73.07768066415397,99.99561195063586
0.869,0.571332236842,0,UDP,47000.0,1681000.0,02,1,82.56701834998059,99.99143010908269
0.893,0.560382838284,1,UDP,47000.0,1681000.0,02,1,66.20864785751121,99.98530172717062
0.952,0.633144736842,0,UDP,47000.0,1681000.0,02,1,50.39053508502551,99.9905369403864
1.467,1.66256435644,1,UDP,7000.0,250000.0,03,1,25.338906223029092,99.9842620444847
0.91,0.591290429043,1,UDP,7000.0,250000.0,03,1,54.89880435824207,99.98904671265944
0.835,0.562661184211,0,UDP,6939.677419354839,250000.0,03,1,97.40695906731194,99.99193055742498
0.887,0.594343234323,1,UDP,6939.032258064516,250000.0,03,1,79.38877079590628,99.99452735479454
0.911,0.600578947368,0,UDP,7000.0,250000.0,03,1,52.92170324901473,99.99267218907984
0.835,0.572023026316,0,UDP,6938.387096774193,250000.0,03,1,73.96953328864092,99.98921920355536
0.856,0.488592105263,0,UDP,7000.0,250000.0,03,1,66.78025727490373,99.992582760104
0.865,0.587967105263,0,UDP,7000.0,250000.0,03,1,71.89855968191901,99.9891461749273
1.287,1.38148344371,2,UDP,7000.0,250000.0,03,1,43.245955014504645,99.98573718446596
0.904,0.507407284768,2,UDP,6936.774193548387,250000.0,03,1,52.06138690796901,99.99221723803448
0.854,0.522536423841,2,UDP,7000.0,250000.0,03,1,75.24094408674594,99.9962662786844
0.876,0.504803986711,3,UDP,7000.0,250000.0,03,1,27.65361650078916,99.99250440035009
0.878,0.540267326733,1,UDP,7000.0,250000.0,03,1,31.35836265778841,99.98870106629214
0.864,0.513300330033,1,UDP,6941.290322580645,250000.0,03,1,90.51979083234733,99.98852677448455
0.888,0.550640264026,1,UDP,6940.322580645161,250000.0,03,1,62.19273011671736,99.98748603003736
0.877,0.552609271523,2,UDP,7000.0,250000.0,03,1,67.21067586901799,99.9938506310131
0.836,0.540286184211,0,UDP,7000.0,250000.0,03,1,24.252730114720386,99.99544451467764
1.063,0.956684210526,0,UDP,7000.0,250000.0,03,1,28.1397393345224,99.98910732904672
0.887,0.571690789474,0,UDP,7000.0,250000.0,03,1,54.75083927641562,99.99085206827904
0.858,0.581465346535,1,UDP,7000.0,250000.0,03,1,33.66636060021316,99.99039628144088
0.866,0.552514851485,1,UDP,7000.0,250000.0,03,1,81.76741556538595,99.99030153696164
0.884,0.569326732673,1,UDP,7000.0,250000.0,03,1,52.831753847423215,99.98668851563065
0.822,0.490947194719,1,UDP,7000.0,250000.0,03,1,50.76621679649416,99.99776061222109
0.83,0.52901320132,1,UDP,7000.0,250000.0,03,1,27.871415936564688,99.98867785186764
0.902,0.590016556291,2,UDP,7000.0,250000.0,03,1,27.64756874839933,99.98402702614612
0.864,0.51197359736,1,UDP,7000.0,250000.0,03,1,67.34746782030393,99.98550152802562
0.846,0.475625,0,UDP,6939.032258064516,250000.0,03,1,70.852642343736,99.99227767531214
0.961,0.679313531353,1,UDP,7000.0,250000.0,03,1,41.769263950536335,99.99114265445904
0.869,0.529650165017,1,UDP,7000.0,250000.0,03,1,18.052081959166983,99.99148210320864
0.861,0.604042763158,0,UDP,7000.0,250000.0,03,1,83.2910766957919,99.99635049819764
0.869,0.571332236842,0,UDP,7000.0,250000.0,03,1,60.76936204079129,99.99439284171213
0.893,0.560382838284,1,UDP,7000.0,250000.0,03,1,49.28622594690336,99.99550917054316
0.952,0.633144736842,0,UDP,7000.0,250000.0,03,1,95.48544603563154,99.99871039105928
1.467,1.66256435644,1,TCP,9007.666666666666,322000.0,04,1,56.81676253669934,99.98929452438186
0.91,0.591290429043,1,TCP,9007.666666666666,322000.0,04,1,46.44272941877094,99.99768413274842
0.835,0.562661184211,0,TCP,9007.666666666666,322000.0,04,1,53.05512316005301,99.99464207971413
0.887,0.594343234323,1,TCP,8990.0,322000.0,04,1,44.03501679704858,99.99394600479148
0.911,0.600578947368,0,TCP,9008.0,322000.0,04,1,80.7095056209484,99.98968276795073
0.835,0.572023026316,0,TCP,9008.0,322000.0,04,1,92.57849742467792,99.99417364228844
0.856,0.488592105263,0,TCP,9003.333333333334,322000.0,04,1,58.35348593945054,99.99534518646315
0.865,0.587967105263,0,TCP,9003.666666666666,322000.0,04,1,79.34275717079782,99.99438522140652
1.287,1.38148344371,2,TCP,9007.333333333334,322000.0,04,1,35.85349884500119,99.9950710438793
0.904,0.507407284768,2,TCP,9007.333333333334,322000.0,04,1,37.34978319493009,99.9910635515508
